col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Munarg,XXXVIII,II,CXXIX,Denarius,V,IV,CCCLXXXII
Muniv,XXXVI,VI,XXVIII,Denarius,VI,IV,DL
Munarg,XXXVII,IX,CLXII,Quinarius,IV,XXV,CL
Munarg,XXXVII,VI,CLXX,Denarius,IV,IV,CCLIV
Murytub,XXXVIII,III,CLXXII,Quinarius,VII,IV,CC
Munarg,XXXV,X,CXL,Denarius,IV,XXI,CCCLXXXI
Murytub,XXXIX,VII,CV,Quinarius,VII,II,CL
Munarg,XXXV,II,CLXXXVIII,Denarius,VIII,XXII,CCCLV
Murytub,XL,VII,LXXXIX,Denarius,VI,XII,DLIII
Muniv,XXXVIII,X,XXVI,Quinarius,IV,XVI,CXIV
Muniv,XXXIX,II,XXV,Quinarius,V,XXVI,CXXI
Murytub,XXXIX,V,CXXII,Quinarius,VI,IV,CXXXIV
Murytub,XL,IV,CLXXX,Denarius,VIII,V,DXXX
Murytub,XXXVIII,XI,CLXXV,Denarius,VIII,X,DLXXXV
Munarg,XXXVI,V,CII,Quinarius,V,XXIII,CXXXIX
Munarg,XXXVI,IX,CLI,Quinarius,IV,XXVI,CXXXVI
Muniv,XXXVIII,VIII,XXIV,Denarius,VIII,XXX,DXIII
Munarg,XL,VII,CIV,Denarius,VII,X,CXCVIII
Munarg,XXXVI,VII,CLIII,Denarius,VII,XXX,CCCLI
Atamora,XXXIX,V,VIII,Denarius,VI,I,MMDCXXI
Atamora,XXXVI,III,X,Denarius,VI,XVII,MMMCDI
Murytub,XXXVI,I,CVIII,Quinarius,VI,I,CCCI
Murytub,XXXVIII,II,LXXXVII,Denarius,VIII,XVII,DCLIX
Suilis,XXXVIII,VII,XI,Denarius,VI,XXII,MMMDCCLXXVII
Muniv,XXXVII,XI,XXV,Denarius,V,XXIV,DXLV
Muniv,XXXV,VI,XXVII,Denarius,VI,XXVIII,DL
Munarg,XXXV,X,CXXIX,Aureus,VII,XXIII,IV
Muniv,XXXVII,X,XXVIII,Quinarius,IX,XI,CCXXXIII
Munarg,XL,I,CXIV,Denarius,VII,VI,CDXI
Murytub,XXXV,IV,CCV,Quinarius,VI,XXVI,CCCXL
Munarg,XXXV,III,CX,Denarius,IV,XXII,CCCVIII
Munarg,XL,II,CVI,Denarius,V,XIX,CCXXXVIII
Suilis,XXXV,VI,XIV,Quinarius,II,XXIII,MDCCCIV
Muniv,XXXVII,VIII,XXVII,Denarius,IV,VII,DI
Murytub,XXXIX,VIII,CXXXIX,Denarius,VII,XXIV,DLXV
Suilis,XXXVII,IV,XXXI,Quinarius,VII,XXVI,MCDXLIX
Munarg,XXXIX,XII,CIX,Quinarius,IV,XVIII,CI
Munarg,XL,VII,CLXXXII,Quinarius,VI,XXX,XLIV
Munarg,XL,VII,CXXVIII,Denarius,VIII,XIV,CCCLXXXII
Munarg,XXXVI,VIII,CXIX,Denarius,VII,XXII,CCLXXX
Munarg,XXXIX,IX,CXXXIII,Denarius,V,XXII,CCIV
Muniv,XXXVII,VIII,XXI,Denarius,VI,XXII,DXXV
Munarg,XL,XII,CLIV,Denarius,VII,XXXI,CDIX
Murytub,XXXVI,IV,CLXVII,Quinarius,VIII,XXX,CCXCIV
Munarg,XXXIX,V,CLXXII,Quinarius,VI,XXVII,LIV
Murytub,XXXV,XII,CXXXIV,Aureus,VII,XIII,VIII
Munarg,XXXVIII,I,CLXXXI,Quinarius,II,XII,CXIII
Munarg,XXXVIII,V,CLXII,Quinarius,V,XXXI,CXXV
Muniv,XXXVIII,II,XVIII,Denarius,V,XXVII,CDLXXIV
Munarg,XXXVII,IX,CXLVI,Quinarius,VI,XXIII,CXX
Muniv,XXXIX,III,XXVIII,Quinarius,VIII,XXX,CXIII
Munarg,XL,XI,CVIII,Denarius,IV,XVI,CDIII
Munarg,XXXV,XII,CLII,Quinarius,VI,XXVI,CLXXVI
Murytub,XXXIX,IX,CXXV,Denarius,VI,XI,DCXI
Suilis,XXXVI,XI,XVII,Denarius,VII,XVIII,MMMCCIX
Muniv,XXXVII,V,XVIII,Aureus,III,XXIII,V
Murytub,XXXVII,IV,CXVIII,Quinarius,IV,XXIX,CCCXCI
Munarg,XXXVII,IX,CXLVI,Denarius,VIII,XX,CCXLIX
Muniv,XXXIX,VII,XXI,Denarius,VII,V,DCIX
Muniv,XXXVIII,X,XVI,Denarius,VIII,II,DXXXIX
Murytub,XXXVIII,IX,CXXXIV,Aureus,VI,XIX,V
Murytub,XXXV,VIII,CVI,Quinarius,IV,XXIV,CCCLXXVIII
Muniv,XXXVIII,IX,XXIX,Denarius,IV,XV,DLIX
Murytub,XXXVIII,IV,CLIV,Denarius,III,XVII,DCXXVII
Muniv,XXXVIII,VII,XIX,Denarius,VII,XVIII,DXXX
Suilis,XXXVIII,IV,XIX,Denarius,IV,XXI,MMMDCCXCII
Munarg,XL,III,CXXXIII,Aureus,VI,XXVI,II
Murytub,XXXVI,IV,CLXXVI,Denarius,VII,IX,DCXLV
Suilis,XXXVII,V,XIII,Denarius,VIII,XXV,MMMCCXC
Murytub,XXXVIII,X,CLXIX,Denarius,VI,V,DCXXXIX
Murytub,XXXIX,II,CXLIV,Denarius,IX,XXI,DCXLV
Murytub,XXXIX,XII,CLI,Denarius,V,XXX,DLXXI
Murytub,XL,VII,CL,Quinarius,III,XV,CXXXVIII
Munarg,XXXIX,III,CXCII,Quinarius,III,VIII,LXI
Murytub,XXXVI,XI,CXLIII,Denarius,VII,XVIII,DCXXXV
Munarg,XXXIX,X,CLXXXIV,Denarius,VIII,XXIX,CCXLVIII
Muniv,XL,XII,XXIII,Quinarius,VI,XXVII,CXVI
Murytub,XXXIX,VI,CLIII,Quinarius,V,XII,CXXVIII
Suilis,XXXV,IV,XXVI,Denarius,IV,VI,MMMCCXX
Munarg,XXXV,XII,CXII,Denarius,VI,X,CCCLXIX
Munarg,XXXVIII,VII,CXVII,Denarius,V,XIX,CCCLXIII
Murytub,XXXVIII,IV,CXX,Aureus,V,XXII,VI
Munarg,XXXVI,II,CXIX,Denarius,VI,XX,CCCLVI
Munarg,XXXV,VI,CLXXXII,Quinarius,VIII,XXIV,CLIV
Munarg,XXXIX,VI,CX,Denarius,VI,XXIII,CCCXLVIII
Muniv,XXXV,VIII,XXV,Denarius,IX,II,DXXXIV
Muniv,XXXIX,X,XXI,Denarius,VI,XXX,DXXIX
Munarg,XXXVI,III,CXXXI,Quinarius,VIII,VII,CLI
Murytub,XXXVI,III,CLXXXI,Denarius,VII,XI,DCCXIII
Murytub,XXXV,X,CXXXVI,Denarius,VI,VI,DCCV
Munarg,XXXV,II,CXVII,Quinarius,VI,XII,CLXXII
Suilis,XXXIX,VII,XXI,Quinarius,VI,XIII,DCCCLXVIII
Murytub,XXXVII,X,CXCVI,Denarius,IX,II,DCLXIX
Suilis,XXXVI,I,XVII,Denarius,IV,VII,MMMCXCI
Muniv,XL,VI,XXV,Denarius,III,XIII,CDLXV
Murytub,XXXVI,X,CLXVIII,Denarius,II,V,DCXLVII
Munarg,XXXV,VI,CLIX,Denarius,VI,XXVII,CCCLIX
Suilis,XXXIX,VII,XXXI,Denarius,IV,XXI,MMMDCXXXIV
Murytub,XXXVII,X,CIII,Denarius,VI,XXVII,DCLXXVIII
Suilis,XL,II,XV,Quinarius,V,XXV,CML
Murytub,XXXVII,III,CLII,Denarius,VII,XXX,DCCVIII
Murytub,XXXVIII,VI,CXXVI,Denarius,IX,XXVI,DCXXIV
Murytub,XL,IV,CLIII,Denarius,VII,VII,DLXXX
Atamora,XXXVIII,V,XIV,Quinarius,VI,V,DCCXXII
Atamora,XXXIX,XI,XIII,Denarius,VI,III,MMCDXXXIII
Murytub,XXXVII,XI,LXXVI,Denarius,V,XII,DCIX
Murytub,XXXIX,VII,CLXXVIII,Denarius,VIII,VII,DLXV
Munarg,XXXIX,VII,CLXII,Denarius,V,XVII,CCXLVIII
Munarg,XXXV,XII,CLI,Denarius,VI,XXVI,CCCXCVIII
Murytub,XXXV,I,CXXII,Quinarius,VI,XXI,CCCLXXVIII
Murytub,XXXVIII,V,CLXVII,Denarius,V,XIV,DCX
Munarg,XL,IV,CXI,Denarius,VIII,XIV,CDLXI
Murytub,XXXVII,V,CXLII,Denarius,VIII,X,DCCCLXXIX
Muniv,XXXIX,IX,XXIV,Denarius,V,XV,DXI
Suilis,XL,II,XXIII,Aureus,VIII,XVI,XXXIX
Munarg,XXXIX,IX,CXCVI,Quinarius,V,XXIII,LV
Murytub,XXXVIII,III,CLXX,Quinarius,V,XVII,CLXXXIX
Murytub,XXXIX,IX,XCVI,Quinarius,V,XXI,CXVI
Murytub,XXXVIII,VIII,CXLV,Aureus,VII,XI,VI
Muniv,XXXVII,X,XXVII,Aureus,V,XIII,V
Muniv,XL,VIII,XXV,Denarius,III,X,CDLXI
Muniv,XL,XI,XXIX,Denarius,V,XXV,DCXVIII
Munarg,XXXVI,I,CLXXXIV,Denarius,VII,XX,CCCXXX
Munarg,XXXVIII,III,CLXXI,Quinarius,V,XXVI,LXXXVII
Munarg,XXXVII,I,CLXII,Denarius,V,XXV,CCCXVIII
Munarg,XL,XI,CLXXVIII,Denarius,VI,I,CCIII
Munarg,XXXVIII,IV,CXXXIV,Aureus,VII,XXV,IV
Munarg,XXXV,IV,CXXVIII,Denarius,IV,XVIII,CCCLXXV
Munarg,XXXVI,III,CLXXIV,Denarius,IV,XXI,CCCXX
Atamora,XXXIX,I,X,Denarius,VII,XV,MMMCCLXXXI
Muniv,XXXV,IV,XXIX,Quinarius,IV,XIII,CCLXXIII
Atamora,XXXVII,II,XII,Denarius,V,XVI,MMCCCLXXXI
Murytub,XXXVIII,VII,CXII,Quinarius,VIII,XXI,CLXXIV
Murytub,XL,X,CLVII,Denarius,VIII,XV,DXXIV
Munarg,XXXVII,III,CX,Denarius,IV,XXV,CCCXXVII
Munarg,XXXV,VIII,CV,Aureus,IX,XVIII,V
Murytub,XXXVII,X,CXXXII,Denarius,VII,X,DLXXXV
Atamora,XL,XI,IX,Denarius,V,XX,MMDCCXXII
Muniv,XL,IV,XVIII,Quinarius,VI,X,CXXXII
Muniv,XXXIX,IV,XXIX,Quinarius,V,XXII,XC
Muniv,XL,I,XXVI,Quinarius,VIII,III,CXXXV
Murytub,XXXVIII,V,CXCIII,Quinarius,VII,II,CXCI
Munarg,XXXVI,II,CLXXXIV,Denarius,V,XIX,CCCXLIX
Munarg,XL,II,CXXIX,Denarius,VII,VII,CCXVII
Muniv,XXXVII,XI,XXXI,Denarius,IV,XVII,DXXIII
Munarg,XXXVII,IV,CXXXVIII,Quinarius,VIII,XII,CXXVII
Murytub,XXXV,II,CXXVII,Denarius,V,XVI,DCXCVIII
Murytub,XXXVIII,VIII,CXXX,Denarius,IV,XXV,DLXIII
Munarg,XXXVII,III,CLXXXVIII,Denarius,IX,VI,CDXVIII
Muniv,XXXVII,VI,XXIV,Aureus,VII,XIX,V
Munarg,XL,VII,CXV,Quinarius,V,XIII,XCIII
Munarg,XXXVII,VIII,CLXXII,Denarius,VI,IV,CCCXVI
Murytub,XXXIX,VII,CXXXVIII,Quinarius,VI,XX,CL
Atamora,XXXVII,VIII,XI,Denarius,V,XXVIII,MMMCLIV
Murytub,XXXVI,V,CXXXIV,Aureus,VII,XXXI,VII
Munarg,XL,II,CXVIII,Denarius,IV,XI,CXCII
Munarg,XXXVII,VI,CLIII,Quinarius,V,XXX,CXLII
Murytub,XL,VI,CLVI,Denarius,V,XXV,DLX
Murytub,XXXVII,II,CLXIV,Denarius,VI,XXIV,DCXCII
Suilis,XL,X,XXII,Quinarius,IX,XXXI,DCCCXXXV
Murytub,XXXVII,IX,CLX,Quinarius,VI,XVI,CCLIX
Muniv,XL,VII,XXV,Aureus,VI,XXX,IV
Murytub,XXXVII,II,CLXVI,Quinarius,V,XXVIII,CCLXXV
Murytub,XL,VI,CXLIII,Denarius,IV,XIV,DLXXIX
Muniv,XL,IV,XXVI,Quinarius,II,XX,CVII
Munarg,XXXVI,IX,CXXV,Quinarius,V,XXVIII,CXXIII
Murytub,XXXVI,III,CLXIV,Quinarius,III,IV,CCCVI
Murytub,XXXVI,I,CXVII,Denarius,V,XVIII,DCCVI
Muniv,XXXIX,III,XXII,Denarius,III,XI,DLXIII
Munarg,XXXV,VII,CXCIV,Denarius,VII,XX,CCCXXXVI
Munarg,XXXV,IX,CLXX,Denarius,VI,XII,CCCXLVI
Murytub,XXXV,XII,CXVI,Quinarius,VI,XXX,CCXCII
Murytub,XL,I,CXLVI,Quinarius,VII,XXII,CXXXVIII
Muniv,XL,XII,XXXI,Quinarius,VIII,XV,CXVI
Munarg,XXXIX,VIII,CLXXXIII,Denarius,VII,XII,CCLXII
Murytub,XXXVII,VI,CLXXXVIII,Denarius,VII,XXVII,CMVIII
Munarg,XXXVIII,III,CXCII,Denarius,V,XVII,CDXXXII
Atamora,XXXIX,XII,VIII,Denarius,V,XXXI,MMCMXIX
Suilis,XXXVII,XI,XVI,Denarius,IX,XXIX,MMMCCCXLIV
Murytub,XXXVIII,III,CLXXII,Quinarius,VII,IV,CXCII
Munarg,XXXIX,I,CXL,Denarius,IV,XIII,CCXXXI
Muniv,XXXVIII,III,XXIII,Denarius,IV,III,CCCXC
Murytub,XL,IV,CLXII,Denarius,VII,VII,DLVIII
Murytub,XXXVI,XI,CLXVI,Denarius,VI,XII,DCV
Murytub,XXXIX,VII,CLXXVII,Aureus,VII,XI,VI
Muniv,XXXVII,VIII,XXVI,Denarius,IX,XXV,CDXCI
Munarg,XXXVI,XI,CXC,Quinarius,VII,XXVI,CXXXIII
Muniv,XXXV,VIII,XXV,Denarius,IX,XX,DXLV
Munarg,XXXV,VI,CXXV,Denarius,VIII,VIII,CCCLII
Muniv,XXXIX,IV,XXVI,Denarius,III,IX,DLII
Murytub,XXXIX,X,CLXXVII,Denarius,VIII,IX,DLXXXIX
Munarg,XXXVIII,V,CXV,Quinarius,IX,VII,LXXXVI
Suilis,XXXIX,IX,XIX,Quinarius,V,XVII,DCCCXXIII
Munarg,XXXVII,VII,CLXVI,Denarius,VII,XXIII,CCCIV
Munarg,XXXVI,VIII,CXXXIX,Quinarius,IV,XIV,CLXII
Muniv,XXXVIII,III,XXX,Aureus,IV,XVIII,V
Murytub,XL,I,CLV,Aureus,VII,XXXI,VI
Murytub,XXXVII,VIII,CCXII,Denarius,VIII,XVI,DCCXVIII
Muniv,XXXVI,X,XXIV,Aureus,IX,XV,V
Murytub,XXXVII,III,CXXX,Quinarius,III,XXXI,CCCX
Munarg,XL,XI,CXXXVIII,Denarius,III,XXI,CCCLXXIII
Munarg,XXXV,IX,CXXXVIII,Denarius,IV,VI,CDI
Munarg,XXXVI,I,CLXXI,Quinarius,X,XXVIII,CXXXI
Munarg,XXXVII,II,CXL,Quinarius,VI,X,CXL
Munarg,XXXVIII,II,CV,Quinarius,VII,XXIV,LXXXIV
Murytub,XXXIX,XII,CXXVIII,Quinarius,VII,XIX,CXXXV
Muniv,XXXVI,I,XXVI,Quinarius,V,XV,CCXLII
Munarg,XXXVIII,II,CXLVIII,Denarius,V,VIII,CCCXCII
Muniv,XXXIX,VII,XV,Denarius,V,XVII,DXXXIX
Muniv,XXXVII,VI,XIX,Quinarius,VI,XIV,CXCV
Murytub,XXXVIII,V,CXLIX,Denarius,IV,XXIII,DCII
Murytub,XXXV,VI,CLXVI,Quinarius,II,XXIII,CCCLXI
Murytub,XXXVIII,XI,CLIII,Denarius,VI,XXIII,DXCII
Atamora,XXXVIII,XI,VII,Quinarius,V,II,DCCCXXI
Munarg,XXXVII,IV,CXLV,Quinarius,IV,XX,CXXII
Munarg,XL,I,CXX,Denarius,VI,VIII,CCXXXVI
Muniv,XL,V,XXV,Aureus,VI,XIV,IV
Muniv,XXXVIII,VI,XXIX,Aureus,IV,XIX,V
Murytub,XXXVI,V,CLXV,Denarius,V,VIII,DCLXXXVIII
Muniv,XXXVII,VII,XXIII,Aureus,IV,II,V
Munarg,XL,VIII,CXCIV,Denarius,VIII,XXII,CLXXIX
Suilis,XXXV,VII,X,Denarius,IV,V,MMMCCXLI
Muniv,XXXVI,II,XXIV,Denarius,VII,XXIII,DCXLVII
Munarg,XXXVI,III,CLIV,Denarius,IX,XIV,CDXI
Murytub,XL,X,CIV,Denarius,IX,IV,DLXXXII
Murytub,XXXVI,I,CLI,Denarius,III,V,DCCXI
Murytub,XXXVII,III,CXLV,Aureus,VI,III,VII
Muniv,XL,III,XXXI,Aureus,VI,VIII,V
Munarg,XXXVIII,VII,CXCVI,Quinarius,V,XII,CXII
Munarg,XL,I,CXIII,Quinarius,VI,XIV,LXXXVIII
Munarg,XXXVI,VI,CLXXV,Denarius,V,XXIII,CCCLIV
Murytub,XXXVII,I,CLXXXVIII,Quinarius,IV,XII,CCLXIII
Murytub,XL,V,CXLVII,Denarius,VI,XVI,DLXXXI
Murytub,XXXVI,VII,CLVII,Denarius,VI,XVIII,DCLXI
Munarg,XXXIX,II,C,Denarius,VI,XXIV,CCXLV
Munarg,XXXVII,IX,CXXXVI,Denarius,VII,XIX,CCCXXIX
Muniv,XXXIX,X,XXIV,Denarius,VI,XVIII,CDLVIII
Murytub,XXXVI,XII,CX,Denarius,IX,XXXI,DCLXXXII
Murytub,XXXV,X,CLII,Aureus,VI,XXII,IX
Suilis,XXXVI,II,XII,Denarius,IX,IX,MMMCLI
Munarg,XL,VII,CXXX,Quinarius,VI,XII,LXXXVIII
Muniv,XXXVII,VI,XXV,Aureus,VII,XVI,V
Atamora,XXXVI,XII,IX,Denarius,VII,IX,MMDX
Munarg,XXXIX,IX,CXVII,Quinarius,IX,IV,CIV
Murytub,XL,III,CLXXV,Aureus,VI,XXX,V
Munarg,XXXV,III,CI,Denarius,VII,XXXI,CCCXCIV
Murytub,XXXVII,XI,CLXXI,Denarius,V,IX,DCVIII
Murytub,XXXVI,III,CLXI,Denarius,IV,XXI,DCLXXVI
Murytub,XXXV,VIII,CXIV,Quinarius,VIII,XIV,CCCXIX
Muniv,XXXVII,III,XXVII,Denarius,VIII,XXVI,DXV
Muniv,XXXIX,X,XXV,Denarius,II,XXII,CDLXXIII
Murytub,XXXVIII,IV,CLXIV,Denarius,VII,XVI,DCLII
Murytub,XXXVIII,IX,CCXXI,Denarius,V,V,DXCIII
Munarg,XXXVII,III,CXLI,Denarius,V,XVIII,CCLXXX
Munarg,XXXIX,V,CLXXVII,Quinarius,VI,I,LXXXII
Munarg,XXXV,XI,CXLIX,Quinarius,V,XXV,CLVI
Atamora,XXXVIII,VII,VII,Denarius,VIII,XXI,MMDCXXXV
Munarg,XXXVIII,VI,CXLV,Denarius,VII,XXX,CCXCV
Munarg,XXXVIII,X,CLXIX,Denarius,VI,XXVI,CCCLXXIII
Munarg,XL,VIII,CLXV,Denarius,II,XV,CXCIII
Munarg,XXXV,X,CXLV,Denarius,VIII,XXX,CCCIV
Murytub,XXXIX,IX,CLXXVII,Denarius,V,XV,DXLV
Munarg,XXXV,VI,CXCII,Quinarius,VI,XI,CLXXXV
Munarg,XL,VII,CLXXI,Denarius,VIII,XIV,CCCLXXII
Munarg,XXXIX,V,CXV,Quinarius,VI,XXX,LV
Munarg,XXXVIII,II,CII,Denarius,VI,IX,CCCLXVI
Munarg,XXXVIII,I,CLXII,Denarius,IV,XXIV,CCLXII
Muniv,XXXIX,IV,XVIII,Denarius,VIII,XI,DLXVIII
Muniv,XXXV,V,XXVI,Quinarius,V,I,CCLXX
Suilis,XXXIX,VI,XLVIII,Denarius,VI,XV,MMMDCXLVII
Munarg,XL,IV,CLXXV,Quinarius,VI,XXV,XLVI
Munarg,XXXV,II,CVI,Denarius,VII,V,CCCLXXXI
Munarg,XXXIX,II,CLXIII,Denarius,VI,XX,CCLXV
Murytub,XXXVI,V,CXLII,Denarius,VI,XXV,DCLV
Suilis,XXXVI,VI,XVII,Quinarius,VI,IV,MDLXXVII
Munarg,XXXVIII,IX,CLXV,Denarius,V,VI,CCCLII
Atamora,XXXVI,X,XI,Denarius,IX,III,MMDCCLII
Munarg,XXXVII,VIII,CLVII,Quinarius,VII,XI,CXLIX
Muniv,XXXVIII,III,XXVIII,Denarius,VII,XXX,CDLXXI
Munarg,XL,V,CXLVIII,Denarius,IV,XXX,CDLIII
Murytub,XXXVII,VI,CXLI,Quinarius,V,XXX,CCCLVI
Muniv,XL,III,XX,Denarius,VI,XXX,DXXIV
Muniv,XXXIX,IV,XVIII,Denarius,V,XXII,DLIX
Murytub,XL,I,CLXVIII,Quinarius,VI,V,CXXXIX
Munarg,XXXVIII,V,CXXI,Quinarius,IX,XXIV,CXIV
Murytub,XXXVIII,XII,CXXXVII,Aureus,XI,XV,VI
Murytub,XXXVII,IV,CXXIX,Quinarius,VI,V,CCCLXXII
Muniv,XXXVII,IV,XXV,Denarius,VI,VII,DXLIX
Murytub,XL,IX,CLXIII,Denarius,IX,XI,DXXXVII
Murytub,XXXIX,XI,CLII,Denarius,VII,XXX,DLIII
Muniv,XXXVI,IX,XXII,Denarius,VI,XI,DXX
Munarg,XXXVII,IV,CL,Quinarius,VII,VI,CLXI
Munarg,XXXVIII,II,CXXXIII,Denarius,V,IV,CCXLIX
Muniv,XXXIX,III,XXVIII,Denarius,VI,III,CDXXXIV
Munarg,XXXIX,X,CLXVIII,Denarius,V,XI,CDLIII
Munarg,XXXIX,VII,CX,Denarius,X,IV,CCXXIV
Munarg,XXXVI,IV,CIII,Aureus,VI,VII,IV
Munarg,XXXVI,I,CXCV,Quinarius,VI,XXVII,CXXXVIII
Murytub,XXXVIII,X,CLXXXVI,Denarius,IV,XXXI,DLXXXIX
Munarg,XXXVIII,I,CXLIX,Denarius,VI,III,CCLII
Murytub,XL,X,CLVII,Denarius,VI,I,CDLXXXVI
Munarg,XXXVIII,XI,CXXVII,Denarius,V,XXVII,CCCXCIX
Muniv,XXXIX,V,XXVIII,Quinarius,III,XXVIII,CIV
Atamora,XL,X,VI,Denarius,VI,II,MMDCCCLV
Munarg,XXXVI,X,CLXXXVI,Quinarius,II,V,CXXXVII
Muniv,XL,IV,XXVIII,Denarius,VII,XVI,DLVII
Suilis,XL,XII,XXXI,Quinarius,V,IX,DCCLXXI
Munarg,XXXVI,IX,CXCIII,Quinarius,IV,XXIX,CLVIII
Munarg,XXXVII,VIII,CXLVI,Quinarius,V,III,CXXVII
Munarg,XXXV,XII,CLIII,Quinarius,IV,XX,CLVII
Muniv,XXXVI,VI,XX,Denarius,VIII,XXI,CDXCI
Murytub,XXXVIII,VIII,CXCIII,Quinarius,VII,XVIII,CLIX
Munarg,XXXV,I,CLXXV,Quinarius,V,V,CLXXV
Munarg,XXXIX,XI,CLIX,Denarius,V,XX,CCXXX
Muniv,XXXVI,X,XIV,Aureus,IX,III,V
Muniv,XL,I,XXVII,Aureus,VI,XII,V
Murytub,XXXIX,V,CLXIII,Denarius,VIII,XVII,DLXVI
Munarg,XXXVI,IX,CXIV,Aureus,V,XIV,IV
Suilis,XXXVIII,III,XL,Denarius,VI,XXIV,MMMDLXXVIII
Murytub,XXXV,VIII,CCXV,Denarius,VI,XII,DCLXVII
Munarg,XL,VI,C,Quinarius,V,VIII,CII
Munarg,XXXVIII,III,CXXXVIII,Denarius,V,XXVI,CCCLXXXIX
Murytub,XL,III,CL,Denarius,IX,XVI,DLXV
Murytub,XXXVI,I,XCIV,Aureus,V,XV,VIII
Muniv,XXXVIII,II,XXVIII,Denarius,VII,XIX,DXXXI
Muniv,XXXV,VII,XVIII,Aureus,VII,III,VI
Munarg,XXXVII,IV,CXII,Denarius,VIII,X,CCCXLVII
Munarg,XXXVIII,IV,CXCIII,Quinarius,VII,XVI,LXXVI
Murytub,XXXVII,VI,CLXXXIX,Denarius,VIII,XII,DCCCLVII
Munarg,XXXVI,I,CXLIV,Denarius,IV,XIV,CCCXCIII
Munarg,XL,I,CXXXI,Denarius,VI,XII,CCCXCII
Murytub,XXXVI,X,CLXIX,Aureus,VII,XVI,VII
Munarg,XXXVIII,VII,CLXXVIII,Aureus,VIII,XXVII,III
Munarg,XXXVII,VII,CXCV,Denarius,VI,IX,CDV
